9/24 00:37:46.579  ---- Startup ----
9/24 00:37:47.421  	Requesting TactKey RecID 15
9/24 00:37:59.637  	109878 Table SoundKit RecID 360878 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 360879 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 360880 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 360881 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 360882 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 364708 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 364711 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367436 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367437 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367440 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367441 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367442 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367444 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367445 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367446 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367452 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367453 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367455 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367458 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367459 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367463 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367464 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367465 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367466 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367467 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367468 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367470 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367471 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367473 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367474 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367475 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367476 VALIDATION_RESULT_VALID
